,moveName,plnCmd,numCmd,startup,active,recovery,total,onHit,onPC,onBlock,DRoH,DRoB,onPP,SSoH,SSoB,dmg,hcWinSpCa,hitstun,blockstun,DDoH,DDoB,DGain,SelfSoH,SelfSoB,OppSoH,OppSoB,atkLvl,xx,extraInfo,moveType,moveMotion,moveButton,i,airmove,hcWinTc,cmnName,nonHittingMove,movesList,hitstop,followUp,chp,projectile,chargeDirection
Forward Strike,Forward Strike,qcb+P > LK,214P > LK,8,5,13(36),25(48),0(-23),4(-19),-4(-27),8,4,-16(-39),,,500,15,18,14,2000,1500,500,300,150,210,75,L,"['sp', 'su']","['Remains in Crouch Stance', 'Framedata listed in parentheses (X) is if you exit stance (stop holding down) after performing the move (it is recommended that you either remain in Crouch Stance (hold any down direction) or cancel this move into something (your cancels require no charge while in Crouch Stance)', 'Takes 23F to exit stance after using this move', 'Stance moves do not require charge for specials when canceling']",normal,N,LK,31,,,Stance > Low Poke,,Stance Attack,,True,,,
Senpu Kick,Senpu Kick,qcb+P > MK,214P > MK,10,5,22(46),36(60),-5(-29),-1(-25),-9(-33),9,5,-25(-49),,,800,18,22,18,4000,3000,2000,1000,500,700,250,L,"['sp', 'su']","['Remains in Crouch Stance', 'Framedata listed in parentheses (X) is if you exit stance (stop holding down) after performing the move (it is recommended that you either remain in Crouch Stance (hold any down direction) or cancel this move into something (your cancels require no charge while in Crouch Stance)', 'Takes 24F to exit stance after using this move', 'Puts airborne opponents into a limited juggle state', 'Stance moves do not require charge for specials when canceling']",normal,N,MK,32,,,Stance > Sweep,,Stance Attack,,True,,,
Tenku Kick,Tenku Kick,qcb+P > HK,214P > HK,8,5,24,36,KD +41,KD +41,-9,,,-27(-23),,,700,30 (Jump),,20,10000,5000,2000,300,150,210,75,H,['j'],"['Jump cancelable on HIT only', 'Exits Crouch Stance', 'Crouching state during first 6F of start-up', 'Launches the opponent high into the air on hit']",normal,N,HK,33,,,Stance > Launcher,,Stance Attack,,True,,,
Koshuto,Koshuto,LP+LK,LPLK,5,3,23,30,KD +11,HKD +11,,,,,,,1200(2040),,,,(10000),,2000,2000(4000),,1400(2800),,T,,"['Pseudo-Throw Loop: Frame-perfect walk forward throw beats 6F attacks on wake-up (corner only)', 'Gets +70% damage increase (2040 damage), HKD (denies back-roll option on wake-up), and depletes 1 bar of Drive Gauge on a Punish Counter']",throw,N,LPLK,34,,,Throw,,Normal Throw,,,,,
Taiji Fan,Taiji Fan,b+LP+LK,4LPLK,5,3,23,30,KD +13,HKD +13,,,,,,,1200(2040),,,,(10000),,2000,2000(4000),,1400(2800),,T,,"['Back Throw oki when cornered: Yes (+13 KD and up close)', 'Gets +70% damage increase (2040 damage), HKD (denies back-roll option on wake-up), and depletes 1 bar of Drive Gauge on a Punish Counter']",throw,B,LPLK,35,,,Back Throw,,Normal Throw,,,,,
Ryuseiraku,Ryuseiraku,LP+LK (air),LPLK (air),5,3,,,KD +10,HKD +10,,,,,,,1200(2040),,,,(10000),,2000,2000(4000),,1400(2800),,T,,"['Gets +70% damage increase (2040 damage), HKD (denies back-roll option on wake-up), and depletes 1 bar of Drive Gauge on a Punish Counter', 'The return of SFV Cammy air throw animation']",throw,N,LPLK,36,True,,Air Throw,,Normal Throw,,,,,
Drive Impact,Drive Impact,HP+HK,HPHK,26,2,35,62,KD (notes),Crumple +104,-3,,,-35,,,800,,,34,10000(15000),5000,-10000,(3000),,,,H,,"['2 hits of armor on frames 1-25', 'Damages opponents Drive Gauge on Block (1/2 bar) | Hit (1 bar) | Counter-Hit (1.25 bar) | Punish Counter (1.5 bar)', 'Knocks down on hit', 'Crumples on Punish Counter or after absorbing at least 1 attack during start-up (+21 frames before the crumple state goes airborne, followed by airborne state on frames 22-46 before they are grounded) which counts as 2 hits of damage scaling', 'If the armor absorbs an attack it slows the overall start-up by 1F (27F total instead of 26F)', 'Pushes the opponent far back on hit or block and causes a wall splat if they hit the wall', 'Wall Splat on block adds 20% damage penalty on the next hit', 'Wall splats on hit or during Burnout counts as 2 hits of damage scaling', ""Wall Splat puts opponent into a special juggle state where the next move juggles them even if it doesn't normally (similar juggle rules as from Drive Rush)"", ""Does not cause wall splat if combo'd into from other moves or unblockable setups (Lock)"", 'Puts airborne opponents into a long spinning free juggle state when hit as a Punish Counter', 'Regular KDA without a Wall Splat: +35 KD', 'Corner wall splat on HIT: +65 KD | Block: +72 HKD', 'KDA can vary greatly depending on how high the opponent wall splats (higher KDA the higher they wall splat)', 'Can clash with other Drive Impacts if they collide on the same active frame (start at exactly the same time)', 'Costs 1 bar of Drive Gauge', 'The scrub killer']",drive,N,HPHK,37,,,Drive Impact,,,,,200,,
Drive Reversal,Drive Reversal,f+HP+HK,6HPHK,20,3(10)3,26,61,KD +23,KD +23,-8,,,-27,,,500,,,34 total,,,-20000,,,,,H,,"['Fully invincible on frames 1-22', 'Armor Break (blows through all armor like Drive Impact)', 'Can only be performed during blockstun or from a successful parry (trying to Drive Reversal after the blockstun is over will result in a Drive Impact)', ""Drive Reversal immediately removes the current blockstun you're in and starts the attack"", 'Costs 2 bars of Drive Gauge']",drive,F,HPHK,38,,,Drive Reversal,,,,,125,,
Drive Parry,Drive Parry,MP+MK,MPMK,1,8(2),29(1)notes,37(3),,,,,,,,,,,,,,,-5000*250~,,,,,,,"['Parries all strikes and projectiles (high and low) from frame 1', '8F parry window (can hold the parry to extend the parry window)', 'Perfect Parry occurs on the first 2 active frames (cannot achieve Perfect Parry if you buffer into parry by holding it during Reversal windows; Perfect Parries have to be timed properly)', 'Can still hold charge directions during Parry', ""Can block during the recovery frames of a regular parry (can still get hit during the recovery frames if you don't block correctly)"", 'Getting thrown or hit at any point during the recovery frames of a whiffed parry attempt results in a Punish Counter', 'Successfully parrying a move puts you into the same amount of blockstun as that move would regularly do on block (but a Perfect Parry has only 1F of recovery)', 'Throw invincible during the recovery of a successful parry (just like during blockstun)', 'Perfect Parrying a strike has only 1F of recovery and disables the opponent from canceling their attack (basically a guaranteed punish opportunity)', 'After a successful Perfect Parry against a strike, you suffer a 50% damage scaling penalty on your following attacks when punishing the opponent', 'Fully invincible for 6F after a successful Perfect Parry against a strike, during which period you can cancel into anything you want and it carries over the brief invincibility frames', 'Perfect Parrying projectiles puts you into fixed 10 frames of recovery and applies the same 50% damage scaling penalty on your following attacks when punishing the opponent', 'If another attack hits you at the same time as you Perfect Parry a projectile, it results in a regular parry for that other attack', 'Can cancel into Drive Rush during active frames 3 and onward (fastest Drive Rush method is to buffer a forward input before doing parry + forward again)', 'Can cancel into Drive Reversal from a successful parry (just like you can normally during blockstun)', 'Costs 1/2 bar Drive Gauge (continues to deplete Drive Gauge as you hold the Parry)', 'You lose the parry if you go into Burnout from the Drive Gauge cost', 'Rewards 1 bar Drive Gauge (1/2 bar total after factoring in the initial parry cost) for successfully parrying a strike', 'Rewards 1/2 bar of Drive Gauge (0 bar total after factoring in the initial parry cost) for successfully parrying a projectile', 'Rewards 2 bars of Drive Gauge (1.5 bars total after factoring in the initial parry cost) for successful parrying a Drive Impact', 'Successfully parrying a strike attack splits the regular block pushback between both players (while Perfect Parrying a strike removes all of its pushback)', 'Successfully parrying a projectile or Drive Impact reduces the pushback of it by half (while Perfect Parrying a projectile or Drive Impact removes all of its pushback)']",drive,N,MPMK,39,,,Drive Parry,True,,,,,,
Drive Rush,Drive Rush,"f,f (cancel)",66,9(11),45(46),24(23),24(23),,,,,,,,,,,,,,,-10000(-30000),,,,,,,"['Dashes forward and enhances the next normal used out of the Drive Rush with +4 extra hitstun / blockstun (some moves also get unique properties enhanced such as juggle state)', 'The +4 bonus frame advantage gained from a Drive Rush enhanced move also stacks with any bonus frame advantage that move may have gained from Counter-Hit or Punish Counter', 'Cancelable into from special cancelable grounded normals', 'Drive Rush maintains buffers (freezes the buffer window) during it start-up and freeze frames - This allows players to do things normally not possible within the normal buffer windows, such as Drive Rushing into a charge special', 'The initial freeze frames that occur when a Drive Rush happens eats the opponents inputs', 'Framedata shown in parentheses refers to the Drive Rush version used from a Parry', 'Drive Rush recovery frames is only 24F total (23F if done from a Parry) - but the enhanced dash itself is 46F total (45F if done from Parry) and you can cancel it as early as frame 9 (frame 11 if done from a Parry)', 'You stop building any form of Drive Gauge on your attacks after using a Drive Rush in the MIDDLE of a combo (but you still continue to build drive gauge as normal if you did Drive Rush at the START of a combo)', 'Applies extra damage scaling penalty after using a Drive Rush in the MIDDLE of a combo (no damage scaling if you use Drive Rush at the START of a combo)', 'Costs 3 bars of Drive Gauge if canceled into from a move', 'Costs 1/2 bar of Drive Gauge if canceled into from Parry (for a total of 1 bar of Drive Gauge when you factor in the initial 1/2 bar cost of the Parry)']",drive,"F, F",,40,,,Drive Rush,True,,,,,,
Taunt,Taunt,PPP+KKK,5PPPKKK,35,2,70,106,-58,KD +35,-65,,,-70,,,300,,,,5000,600,300,300,150,210,75,H,,"['Neutral Taunt actually has a hit attached to it that does 300 damage and is -58 / -65 on Hit / Block', 'Causes a crumple-like state on Punish Counter']",taunt,N,3P3K,41,,,Taunt,,,,,,,
LP Kikoken,LP Kikoken,"b,f+LP",46LP,15,90,32,47,-3,1,-7,,,-22,,,600,4,30,26,3000,2500,1000,600,300,420,150,H,['su3'],"['1-hit projectile', 'Projectile Speed: 0.037', 'Travels around 90% screen length', 'Projectile lasts 90f', 'Takes 50 frames to charge (holds charge for 10F after leaving charge)', 'Does not require charge if canceled into from Stance moves']",special,F,LP,42,,,LP Fireball,,Special,,,150,True,B
MP Kikoken,MP Kikoken,"b,f+MP",46MP,12,55,33,45,-3,1,-7,,,-23,,,600,4,31,27,3000,2500,1000,600,300,420,150,H,['su3'],"['1-hit projectile', 'Projectile Speed: 0.05', 'Travels around 80% screen length', 'Projectile lasts 55f', 'Takes 50 frames to charge (holds charge for 10F after leaving charge)', 'Does not require charge if canceled into from Stance moves']",special,F,MP,43,,,MP Fireball,,,,,150,True,B
HP Kikoken,HP Kikoken,"b,f+HP",46HP,11,25,32,43,-2,2,-6,,,-22,,,600,4,31,27,3000,2500,1000,600,300,420,150,H,['su3'],"['1-hit projectile', 'Projectile Speed: 0.07', 'Travels around 60% screen length', 'Projectile lasts 25f', 'Takes 50 frames to charge (holds charge for 10F after leaving charge)', 'Does not require charge if canceled into from Stance moves']",special,F,HP,44,,,HP Fireball,,,,,150,True,B
OD Kikoken,OD Kikoken,"b,f+PP",46PP,11,,28,39,5,9,0,,,-7,,,800 (400*400),11,34 total,29 total,5000 (2500*2500),2500 (1250*1250),-20000,450 (200*250),225 (100*125),315 (140*175),112 (50*62),H,"['su2', 'su3']","['2-hit OD projectile', 'Projectile Speed: 0.095', 'Travels full screen', 'Projectile lasts 29f', 'Takes 45 frames to charge (holds charge for 10F after leaving charge)', 'Does not require charge if canceled into from Stance moves']",special,F,2P,45,,,OD Fireball,,,,,200 (100*100),True,B
LK Hundred Lightning Kicks,LK Hundred Lightning Kicks,qcf+LK,236LK,8,2(5)2(5)2,20,43,3,7,-8,,,-20,,,800 (250x2*300),16,39 total,28 total,5000,3000 (1000x3),2000 (666x2*668),800 (250x2*300),400 (125x2*150),560 (175x2*210),199 (62x2*75),H,['su3'],"['3 hits', 'Carries over Counter-Hit / Punish Counter bonus frame advantage to all hits', 'Puts the opponent into a limited juggle state on hit']",special,QCF,LK,46,,,LK Legs,,Special,,,200 (62x2*76),,
MK Hundred Lightning Kicks,MK Hundred Lightning Kicks,qcf+MK,236MK,14,2(4)2(4)2(5)2,22,56,3,7,-8,,,-22,,,900 (225x4),24,46 total,35 total,5000,4000 (1000x4),2000 (500x4),800 (200x4),400 (100x4),560 (140x4),200 (50x4),H,['su3'],"['4 hits', 'Carries over Counter-Hit / Punish Counter bonus frame advantage to all hits', 'Puts the opponent into a limited juggle state on hit']",special,QCF,MK,47,,,MK Legs,,,,,225 (56x3*57),,
HK Hundred Lightning Kicks,HK Hundred Lightning Kicks,qcf+HK,236HK,23,2(3)2(2)2(4)2(6)2,15,62,KD +50,KD +50,-3,,,-15,,,1000 (200x5),30,,37 total,5000,4000 (800x5),2000 (400x5),800 (160x5),400 (80x5),560 (112x5),200 (40x5),H,['su3'],"['5 hits', 'Puts the opponent into a limited juggle state on hit']",special,QCF,HK,48,,,HK Legs,,,,,250 (50x5),,
OD Hundred Lightning Kicks,OD Hundred Lightning Kicks,qcf+KK,236KK,8,2(4)2(4)2(4)2(4)2,21,54,3,7,-3,,,-20,,,800 (160x5),41 Su / 43 follow-up,50 total,44 total,5000,4000 (800x5),-20000,800 (160x5),400 (80x5),560 (112x5),200 (40x5),H,"['su2', 'su3']","['5 hits', 'Carries over Counter-Hit / Punish Counter bonus frame advantage to all hits', 'Can be followed up on hit / block with an extension by pressing 2 kick buttons (KK) again']",special,QCF,2K,49,,,OD Legs,,,,,200 (50x5),,
Lightning Kick Barrage,Lightning Kick Barrage,qcf+KK > KK,236KK > KK,10,2(5)2(4)2(5)2(13)1,,,KD +29,KD +29,-13,,,,,,1500 (160x5*100x4*300),,,50,,5000 (1000x5),,500 (100x5),250 (50x5),350 (70x5),125 (25x5),H,,"['10 hits total', 'Follow-up is only possible on hit / block']",special,N,2K,50,,,OD Legs follow-up,,Special,,,375 (50x5*25x4*75),,
